Base position	No. reads	Exon
108284367	2	1.0
108284368	2	1.0
108284369	2	1.0
108284370	2	1.0
108284371	2	1.0
108284372	2	1.0
108284373	2	1.0
108284374	2	1.0
108284375	2	1.0
108284376	2	1.0
108284377	2	1.0
108284378	2	1.0
108284379	2	1.0
108284380	6	1.0
108284381	6	1.0
108284382	6	1.0
108284383	6	1.0
108284384	6	1.0
108284385	6	1.0
108284386	6	1.0
108284387	6	1.0
108284388	6	1.0
108284389	6	1.0
108284390	6	1.0
108284391	6	1.0
108284392	6	1.0
108284393	6	1.0
108284394	6	1.0
108284395	6	1.0
108284396	6	1.0
108284397	6	1.0
108284398	6	1.0
108284399	6	1.0
108284400	6	1.0
108284401	6	1.0
108284402	6	1.0
108284403	6	1.0
108284404	6	1.0
108284405	6	1.0
108284406	6	1.0
108284407	6	1.0
108284408	6	1.0
108284409	6	1.0
108284410	6	1.0
108284411	6	1.0
108284412	6	1.0
108284413	6	1.0
108284414	2	1.0
108284415	2	1.0
108284416	2	1.0
108284417	2	1.0
108284418	2	1.0
108284419	2	1.0
108284420	2	1.0
108284421	6	1.0
108284422	6	1.0
108284423	6	1.0
108284424	6	1.0
108284425	6	1.0
108284426	12	1.0
108284427	12	1.0
108284428	12	1.0
108284429	12	1.0
108284430	12	1.0
108284431	12	1.0
108284432	12	1.0
108284433	12	1.0
108284434	12	1.0
108284435	12	1.0
108284436	12	1.0
108284437	12	1.0
108284438	12	1.0
108284439	12	1.0
108284440	0	1.0
108308476	12	2.0
108308477	12	2.0
108308478	12	2.0
108308479	12	2.0
108308480	12	2.0
108308481	12	2.0
108308482	12	2.0
108308483	12	2.0
108308484	20	2.0
108308485	20	2.0
108308486	20	2.0
108308487	20	2.0
108308488	20	2.0
108308489	20	2.0
108308490	12	2.0
108308491	12	2.0
108308492	12	2.0
108308493	12	2.0
108308494	12	2.0
108308495	12	2.0
108308496	12	2.0
108308497	12	2.0
108308498	12	2.0
108308499	12	2.0
108308500	12	2.0
108308501	12	2.0
108308502	12	2.0
108308503	20	2.0
108308504	20	2.0
108308505	20	2.0
108308506	20	2.0
108308507	20	2.0
108308508	20	2.0
108308509	20	2.0
108308510	20	2.0
108308511	30	2.0
108308512	30	2.0
108308513	30	2.0
108308514	30	2.0
108308515	30	2.0
108308516	30	2.0
108308517	30	2.0
108308518	42	2.0
108308519	42	2.0
108308520	42	2.0
108308521	42	2.0
108308522	42	2.0
108308523	42	2.0
108308524	42	2.0
108308525	42	2.0
108308526	42	2.0
108308527	42	2.0
108308528	56	2.0
108308529	110	2.0
108308530	110	2.0
108308531	90	2.0
108308532	90	2.0
108308533	90	2.0
108308534	90	2.0
108308535	90	2.0
108308536	0	2.0
108310143	72	3.0
108310144	72	3.0
108310145	72	3.0
108310146	72	3.0
108310147	110	3.0
108310148	110	3.0
108310149	110	3.0
108310150	110	3.0
108310151	110	3.0
108310152	132	3.0
108310153	132	3.0
108310154	132	3.0
108310155	132	3.0
108310156	132	3.0
108310157	132	3.0
108310158	132	3.0
108310159	132	3.0
108310160	132	3.0
108310161	110	3.0
108310162	110	3.0
108310163	110	3.0
108310164	110	3.0
108310165	110	3.0
108310166	110	3.0
108310167	110	3.0
108310168	110	3.0
108310169	110	3.0
108310170	110	3.0
108310171	110	3.0
108310172	110	3.0
108310173	110	3.0
108310174	110	3.0
108310175	110	3.0
108310176	110	3.0
108310177	110	3.0
108310178	132	3.0
108310179	132	3.0
108310180	132	3.0
108310181	132	3.0
108310182	132	3.0
108310183	156	3.0
108310184	156	3.0
108310185	132	3.0
108310186	132	3.0
108310187	132	3.0
108310188	132	3.0
108310189	132	3.0
108310190	132	3.0
108310191	132	3.0
108310192	132	3.0
108310193	110	3.0
108310194	110	3.0
108310195	110	3.0
108310196	110	3.0
108310197	110	3.0
108310198	90	3.0
108310199	110	3.0
108310200	110	3.0
108310201	110	3.0
108310202	110	3.0
108310203	110	3.0
108310204	110	3.0
108310205	110	3.0
108310206	110	3.0
108310207	72	3.0
108310208	72	3.0
108310209	72	3.0
108310210	42	3.0
108310211	42	3.0
108310212	42	3.0
108310213	42	3.0
108310214	42	3.0
108310215	42	3.0
108310216	42	3.0
108310217	0	3.0
108324595	56	4.0
108324596	56	4.0
108324597	56	4.0
108324598	56	4.0
108324599	56	4.0
108324600	30	4.0
108324601	30	4.0
108324602	30	4.0
108324603	30	4.0
108324604	30	4.0
108324605	20	4.0
108324606	30	4.0
108324607	30	4.0
108324608	30	4.0
108324609	30	4.0
108324610	30	4.0
108324611	30	4.0
108324612	30	4.0
108324613	30	4.0
108324614	30	4.0
108324615	30	4.0
108324616	30	4.0
108324617	30	4.0
108324618	30	4.0
108324619	30	4.0
108324620	30	4.0
108324621	30	4.0
108324622	30	4.0
108324623	30	4.0
108324624	30	4.0
108324625	30	4.0
108324626	30	4.0
108324627	30	4.0
108324628	30	4.0
108324629	30	4.0
108324630	20	4.0
108324631	20	4.0
108324632	30	4.0
108324633	20	4.0
108324634	30	4.0
108324635	30	4.0
108324636	30	4.0
108324637	30	4.0
108324638	30	4.0
108324639	42	4.0
108324640	42	4.0
108324641	56	4.0
108324642	56	4.0
108324643	56	4.0
108324644	56	4.0
108324645	56	4.0
108324646	56	4.0
108324647	56	4.0
108324648	56	4.0
108324649	56	4.0
108324650	56	4.0
108324651	56	4.0
108324652	42	4.0
108324653	42	4.0
108324654	42	4.0
108324655	42	4.0
108324656	42	4.0
108324657	56	4.0
108324658	56	4.0
108324659	72	4.0
108324660	72	4.0
108324661	72	4.0
108324662	72	4.0
108324663	72	4.0
108324664	72	4.0
108324665	72	4.0
108324666	72	4.0
108324667	72	4.0
108324668	56	4.0
108324669	56	4.0
108324670	56	4.0
108324671	90	4.0
108324672	132	4.0
108324673	132	4.0
108324674	156	4.0
108324675	156	4.0
108324676	156	4.0
108324677	156	4.0
108324678	156	4.0
108324679	156	4.0
108324680	132	4.0
108324681	132	4.0
108324682	132	4.0
108324683	132	4.0
108324684	132	4.0
108324685	132	4.0
108324686	132	4.0
108324687	132	4.0
108324688	156	4.0
108324689	156	4.0
108324690	156	4.0
108324691	156	4.0
108324692	156	4.0
108324693	156	4.0
108324694	156	4.0
108324695	156	4.0
108324696	156	4.0
108324697	156	4.0
108324698	0	4.0
108325648	182	5.0
108325649	210	5.0
108325650	210	5.0
108325651	240	5.0
108325652	272	5.0
108325653	272	5.0
108325654	272	5.0
108325655	272	5.0
108325656	240	5.0
108325657	240	5.0
108325658	272	5.0
108325659	240	5.0
108325660	240	5.0
108325661	272	5.0
108325662	272	5.0
108325663	210	5.0
108325664	156	5.0
108325665	182	5.0
108325666	182	5.0
108325667	182	5.0
108325668	210	5.0
108325669	240	5.0
108325670	240	5.0
108325671	240	5.0
108325672	240	5.0
108325673	240	5.0
108325674	240	5.0
108325675	240	5.0
108325676	240	5.0
108325677	240	5.0
108325678	240	5.0
108325679	240	5.0
108325680	240	5.0
108325681	240	5.0
108325682	210	5.0
108325683	182	5.0
108325684	210	5.0
108325685	210	5.0
108325686	240	5.0
108325687	240	5.0
108325688	240	5.0
108325689	240	5.0
108325690	272	5.0
108325691	272	5.0
108325692	272	5.0
108325693	272	5.0
108325694	306	5.0
108325695	342	5.0
108325696	342	5.0
108325697	272	5.0
108325698	272	5.0
108325699	240	5.0
108325700	272	5.0
108325701	272	5.0
108325702	272	5.0
108325703	272	5.0
108325704	272	5.0
108325705	272	5.0
108325706	272	5.0
108325707	272	5.0
108325708	272	5.0
108325709	272	5.0
108325710	272	5.0
108325711	272	5.0
108325712	272	5.0
108325713	240	5.0
108325714	272	5.0
108325715	272	5.0
108325716	272	5.0
108325717	272	5.0
108325718	272	5.0
108325719	306	5.0
108325720	306	5.0
108325721	342	5.0
108325722	306	5.0
108325723	272	5.0
108325724	272	5.0
108325725	240	5.0
108325726	240	5.0
108325727	210	5.0
108325728	210	5.0
108325729	210	5.0
108325730	210	5.0
108325731	210	5.0
108325732	182	5.0
108325733	182	5.0
108325734	156	5.0
108325735	156	5.0
108325736	156	5.0
108325737	156	5.0
108325738	132	5.0
108325739	132	5.0
108325740	132	5.0
108325741	156	5.0
108325742	132	5.0
108325743	110	5.0
108325744	110	5.0
108325745	110	5.0
108325746	110	5.0
108325747	110	5.0
108325748	110	5.0
108325749	110	5.0
108325750	110	5.0
108325751	132	5.0
108325752	132	5.0
108325753	132	5.0
108325754	132	5.0
108325755	132	5.0
108325756	132	5.0
108325757	210	5.0
108325758	210	5.0
108325759	182	5.0
108325760	156	5.0
108325761	182	5.0
108325762	210	5.0
108325763	210	5.0
108325764	210	5.0
108325765	182	5.0
108325766	182	5.0
108325767	210	5.0
108325768	182	5.0
108325769	156	5.0
108325770	156	5.0
108325771	156	5.0
108325772	156	5.0
108325773	156	5.0
108325774	132	5.0
108325775	132	5.0
108325776	132	5.0
108325777	132	5.0
108325778	132	5.0
108325779	156	5.0
108325780	156	5.0
108325781	156	5.0
108325782	156	5.0
108325783	156	5.0
108325784	156	5.0
108325785	156	5.0
108325786	182	5.0
108325787	182	5.0
108325788	156	5.0
108325789	182	5.0
108325790	210	5.0
108325791	210	5.0
108325792	156	5.0
108325793	156	5.0
108325794	156	5.0
108325795	182	5.0
108325796	182	5.0
108325797	182	5.0
108325798	182	5.0
108325799	182	5.0
108325800	182	5.0
108325801	182	5.0
108325802	182	5.0
108325803	182	5.0
108325804	182	5.0
108325805	182	5.0
108325806	182	5.0
108325807	210	5.0
108325808	210	5.0
108325809	210	5.0
108325810	210	5.0
108325811	210	5.0
108325812	210	5.0
108325813	0	5.0
108328007	272	6.0
108328008	272	6.0
108328009	272	6.0
108328010	240	6.0
108328011	240	6.0
108328012	240	6.0
108328013	240	6.0
108328014	240	6.0
108328015	240	6.0
108328016	240	6.0
108328017	240	6.0
108328018	240	6.0
108328019	240	6.0
108328020	210	6.0
108328021	210	6.0
108328022	210	6.0
108328023	210	6.0
108328024	210	6.0
108328025	156	6.0
108328026	132	6.0
108328027	132	6.0
108328028	132	6.0
108328029	110	6.0
108328030	90	6.0
108328031	90	6.0
108328032	90	6.0
108328033	90	6.0
108328034	90	6.0
108328035	90	6.0
108328036	72	6.0
108328037	72	6.0
108328038	110	6.0
108328039	110	6.0
108328040	110	6.0
108328041	110	6.0
108328042	110	6.0
108328043	110	6.0
108328044	110	6.0
108328045	132	6.0
108328046	132	6.0
108328047	110	6.0
108328048	110	6.0
108328049	132	6.0
108328050	132	6.0
108328051	132	6.0
108328052	132	6.0
108328053	132	6.0
108328054	110	6.0
108328055	110	6.0
108328056	132	6.0
108328057	132	6.0
108328058	90	6.0
108328059	90	6.0
108328060	90	6.0
108328061	182	6.0
108328062	182	6.0
108328063	132	6.0
108328064	132	6.0
108328065	132	6.0
108328066	132	6.0
108328067	132	6.0
108328068	132	6.0
108328069	132	6.0
108328070	132	6.0
108328071	132	6.0
108328072	132	6.0
108328073	132	6.0
108328074	132	6.0
108328075	132	6.0
108328076	132	6.0
108328077	156	6.0
108328078	156	6.0
108328079	156	6.0
108328080	156	6.0
108328081	0	6.0
108331910	132	7.0
108331911	132	7.0
108331912	132	7.0
108331913	132	7.0
108331914	210	7.0
108331915	210	7.0
108331916	210	7.0
108331917	210	7.0
108331918	210	7.0
108331919	210	7.0
108331920	210	7.0
108331921	210	7.0
108331922	210	7.0
108331923	210	7.0
108331924	210	7.0
108331925	210	7.0
108331926	210	7.0
108331927	210	7.0
108331928	210	7.0
108331929	210	7.0
108331930	210	7.0
108331931	240	7.0
108331932	240	7.0
108331933	240	7.0
108331934	240	7.0
108331935	240	7.0
108331936	240	7.0
108331937	240	7.0
108331938	240	7.0
108331939	272	7.0
108331940	272	7.0
108331941	240	7.0
108331942	240	7.0
108331943	240	7.0
108331944	240	7.0
108331945	240	7.0
108331946	240	7.0
108331947	240	7.0
108331948	210	7.0
108331949	210	7.0
108331950	210	7.0
108331951	210	7.0
108331952	210	7.0
108331953	210	7.0
108331954	210	7.0
108331955	210	7.0
108331956	210	7.0
108331957	210	7.0
108331958	210	7.0
108331959	210	7.0
108331960	0	7.0
108334565	92	8.0
108334566	92	8.0
108334567	92	8.0
108334568	90	8.0
108334569	90	8.0
108334570	90	8.0
108334571	90	8.0
108334572	90	8.0
108334573	90	8.0
108334574	90	8.0
108334575	110	8.0
108334576	110	8.0
108334577	110	8.0
108334578	110	8.0
108334579	110	8.0
108334580	110	8.0
108334581	110	8.0
108334582	110	8.0
108334583	110	8.0
108334584	110	8.0
108334585	110	8.0
108334586	132	8.0
108334587	132	8.0
108334588	110	8.0
108334589	110	8.0
108334590	110	8.0
108334591	110	8.0
108334592	110	8.0
108334593	110	8.0
108334594	56	8.0
108334595	56	8.0
108334596	56	8.0
108334597	56	8.0
108334598	56	8.0
108334599	56	8.0
108334600	56	8.0
108334601	56	8.0
108334602	56	8.0
108334603	56	8.0
108334604	90	8.0
108334605	90	8.0
108334606	90	8.0
108334607	90	8.0
108334608	90	8.0
108334609	90	8.0
108334610	90	8.0
108334611	72	8.0
108334612	72	8.0
108334613	72	8.0
108334614	72	8.0
108334615	72	8.0
108334616	72	8.0
108334617	56	8.0
108334618	56	8.0
108334619	56	8.0
108334620	56	8.0
108334621	42	8.0
108334622	42	8.0
108334623	42	8.0
108334624	42	8.0
108334625	72	8.0
108334626	72	8.0
108334627	72	8.0
108334628	72	8.0
108334629	72	8.0
108334630	90	8.0
108334631	90	8.0
108334632	72	8.0
108334633	90	8.0
108334634	90	8.0
108334635	90	8.0
108334636	90	8.0
108334637	110	8.0
108334638	110	8.0
108334639	110	8.0
108334640	110	8.0
108334641	110	8.0
108334642	110	8.0
108334643	132	8.0
108334644	132	8.0
108334645	132	8.0
108334646	156	8.0
108334647	132	8.0
108334648	132	8.0
108334649	156	8.0
108334650	156	8.0
108334651	156	8.0
108334652	156	8.0
108334653	156	8.0
108334654	156	8.0
108334655	156	8.0
108334656	156	8.0
108334657	156	8.0
108334658	156	8.0
108334659	156	8.0
108334660	156	8.0
108334661	110	8.0
108334662	110	8.0
108334663	110	8.0
108334664	110	8.0
108334665	110	8.0
108334666	110	8.0
108334667	110	8.0
108334668	110	8.0
108334669	132	8.0
108334670	132	8.0
108334671	132	8.0
108334672	156	8.0
108334673	156	8.0
108334674	182	8.0
108334675	182	8.0
108334676	182	8.0
108334677	182	8.0
108334678	132	8.0
108334679	132	8.0
108334680	132	8.0
108334681	156	8.0
108334682	156	8.0
108334683	156	8.0
108334684	156	8.0
108334685	156	8.0
108334686	156	8.0
108334687	156	8.0
108334688	156	8.0
108334689	156	8.0
108334690	182	8.0
108334691	182	8.0
108334692	182	8.0
108334693	182	8.0
108334694	182	8.0
108334695	182	8.0
108334696	0	8.0
108337790	182	9.0
108337791	182	9.0
108337792	182	9.0
108337793	156	9.0
108337794	182	9.0
108337795	210	9.0
108337796	210	9.0
108337797	210	9.0
108337798	182	9.0
108337799	182	9.0
108337800	182	9.0
108337801	182	9.0
108337802	182	9.0
108337803	132	9.0
108337804	132	9.0
108337805	156	9.0
108337806	156	9.0
108337807	210	9.0
108337808	210	9.0
108337809	210	9.0
108337810	272	9.0
108337811	272	9.0
108337812	240	9.0
108337813	240	9.0
108337814	272	9.0
108337815	240	9.0
108337816	210	9.0
108337817	210	9.0
108337818	210	9.0
108337819	210	9.0
108337820	210	9.0
108337821	210	9.0
108337822	210	9.0
108337823	210	9.0
108337824	210	9.0
108337825	210	9.0
108337826	210	9.0
108337827	210	9.0
108337828	240	9.0
108337829	240	9.0
108337830	240	9.0
108337831	240	9.0
108337832	240	9.0
108337833	240	9.0
108337834	240	9.0
108337835	240	9.0
108337836	240	9.0
108337837	240	9.0
108337838	182	9.0
108337839	182	9.0
108337840	182	9.0
108337841	182	9.0
108337842	182	9.0
108337843	182	9.0
108337844	182	9.0
108337845	182	9.0
108337846	182	9.0
108337847	182	9.0
108337848	182	9.0
108337849	210	9.0
108337850	210	9.0
108337851	210	9.0
108337852	210	9.0
108337853	210	9.0
108337854	210	9.0
108337855	210	9.0
108337856	210	9.0
108337857	210	9.0
108337858	182	9.0
108337859	182	9.0
108337860	182	9.0
108337861	182	9.0
108337862	182	9.0
108337863	156	9.0
108337864	156	9.0
108337865	156	9.0
108337866	156	9.0
108337867	156	9.0
108337868	182	9.0
108337869	156	9.0
108337870	132	9.0
108337871	132	9.0
108337872	132	9.0
108337873	210	9.0
108337874	210	9.0
108337875	210	9.0
108337876	210	9.0
108337877	210	9.0
108337878	210	9.0
108337879	182	9.0
108337880	182	9.0
108337881	182	9.0
108337882	132	9.0
108337883	132	9.0
108337884	132	9.0
108337885	90	9.0
108337886	72	9.0
108337887	72	9.0
108337888	72	9.0
108337889	72	9.0
108337890	72	9.0
108337891	72	9.0
108337892	72	9.0
108337893	72	9.0
108337894	72	9.0
108337895	72	9.0
108337896	90	9.0
108337897	90	9.0
108337898	90	9.0
108337899	90	9.0
108337900	90	9.0
108337901	90	9.0
108337902	90	9.0
108337903	90	9.0
108337904	90	9.0
108337905	90	9.0
108337906	90	9.0
108337907	90	9.0
108337908	90	9.0
108337909	90	9.0
108337910	90	9.0
108337911	90	9.0
108337912	90	9.0
108337913	132	9.0
108337914	132	9.0
108337915	132	9.0
108337916	110	9.0
108337917	110	9.0
108337918	110	9.0
108337919	110	9.0
108337920	110	9.0
108337921	72	9.0
108337922	72	9.0
108337923	72	9.0
108337924	72	9.0
108337925	90	9.0
108337926	90	9.0
108337927	90	9.0
108337928	90	9.0
108337929	90	9.0
108337930	90	9.0
108337931	90	9.0
108337932	90	9.0
108337933	90	9.0
108337934	90	9.0
108337935	0	9.0
108338810	110	10.0
108338811	110	10.0
108338812	110	10.0
108338813	110	10.0
108338814	132	10.0
108338815	132	10.0
108338816	156	10.0
108338817	156	10.0
108338818	156	10.0
108338819	156	10.0
108338820	156	10.0
108338821	182	10.0
108338822	182	10.0
108338823	110	10.0
108338824	110	10.0
108338825	110	10.0
108338826	110	10.0
108338827	110	10.0
108338828	110	10.0
108338829	132	10.0
108338830	132	10.0
108338831	132	10.0
108338832	132	10.0
108338833	132	10.0
108338834	132	10.0
108338835	132	10.0
108338836	132	10.0
108338837	132	10.0
108338838	132	10.0
108338839	132	10.0
108338840	132	10.0
108338841	132	10.0
108338842	132	10.0
108338843	132	10.0
108338844	132	10.0
108338845	132	10.0
108338846	110	10.0
108338847	110	10.0
108338848	110	10.0
108338849	110	10.0
108338850	110	10.0
108338851	90	10.0
108338852	90	10.0
108338853	90	10.0
108338854	132	10.0
108338855	132	10.0
108338856	132	10.0
108338857	132	10.0
108338858	132	10.0
108338859	182	10.0
108338860	182	10.0
108338861	182	10.0
108338862	210	10.0
108338863	156	10.0
108338864	156	10.0
108338865	182	10.0
108338866	182	10.0
108338867	182	10.0
108338868	182	10.0
108338869	182	10.0
108338870	182	10.0
108338871	182	10.0
108338872	182	10.0
108338873	182	10.0
108338874	156	10.0
108338875	156	10.0
108338876	156	10.0
108338877	210	10.0
108338878	240	10.0
108338879	240	10.0
108338880	210	10.0
108338881	210	10.0
108338882	210	10.0
108338883	210	10.0
108338884	210	10.0
108338885	272	10.0
108338886	272	10.0
108338887	272	10.0
108338888	272	10.0
108338889	240	10.0
108338890	210	10.0
108338891	210	10.0
108338892	182	10.0
108338893	182	10.0
108338894	182	10.0
108338895	156	10.0
108338896	156	10.0
108338897	156	10.0
108338898	156	10.0
108338899	156	10.0
108338900	156	10.0
108338901	156	10.0
108338902	182	10.0
108338903	156	10.0
108338904	156	10.0
108338905	210	10.0
108338906	210	10.0
108338907	210	10.0
108338908	210	10.0
108338909	210	10.0
108338910	210	10.0
108338911	210	10.0
108338912	240	10.0
108338913	240	10.0
108338914	240	10.0
108338915	240	10.0
108338916	240	10.0
108338917	240	10.0
108338918	240	10.0
108338919	272	10.0
108338920	272	10.0
108338921	272	10.0
108338922	272	10.0
108338923	210	10.0
108338924	210	10.0
108338925	210	10.0
108338926	210	10.0
108338927	210	10.0
108338928	210	10.0
108338929	210	10.0
108338930	210	10.0
108338931	210	10.0
108338932	156	10.0
108338933	156	10.0
108338934	156	10.0
108338935	156	10.0
108338936	182	10.0
108338937	156	10.0
108338938	156	10.0
108338939	156	10.0
108338940	132	10.0
108338941	132	10.0
108338942	240	10.0
108338943	240	10.0
108338944	240	10.0
108338945	240	10.0
108338946	240	10.0
108338947	240	10.0
108338948	240	10.0
108338949	156	10.0
108338950	132	10.0
108338951	132	10.0
108338952	110	10.0
108338953	110	10.0
108338954	110	10.0
108338955	110	10.0
108338956	132	10.0
108338957	132	10.0
108338958	132	10.0
108338959	132	10.0
108338960	132	10.0
108338961	132	10.0
108338962	132	10.0
108338963	132	10.0
108338964	132	10.0
108338965	132	10.0
108338966	0	10.0
108340598	132	11.0
108340599	132	11.0
108340600	132	11.0
108340601	132	11.0
108340602	132	11.0
108340603	132	11.0
108340604	132	11.0
108340605	132	11.0
108340606	156	11.0
108340607	156	11.0
108340608	156	11.0
108340609	132	11.0
108340610	90	11.0
108340611	90	11.0
108340612	90	11.0
108340613	90	11.0
108340614	90	11.0
108340615	90	11.0
108340616	90	11.0
108340617	90	11.0
108340618	72	11.0
108340619	72	11.0
108340620	72	11.0
108340621	90	11.0
108340622	110	11.0
108340623	110	11.0
108340624	110	11.0
108340625	110	11.0
108340626	90	11.0
108340627	110	11.0
108340628	110	11.0
108340629	110	11.0
108340630	110	11.0
108340631	110	11.0
108340632	110	11.0
108340633	110	11.0
108340634	110	11.0
108340635	110	11.0
108340636	110	11.0
108340637	110	11.0
108340638	110	11.0
108340639	132	11.0
108340640	156	11.0
108340641	156	11.0
108340642	132	11.0
108340643	132	11.0
108340644	132	11.0
108340645	132	11.0
108340646	110	11.0
108340647	110	11.0
108340648	56	11.0
108340649	56	11.0
108340650	56	11.0
108340651	56	11.0
108340652	56	11.0
108340653	56	11.0
108340654	56	11.0
108340655	56	11.0
108340656	56	11.0
108340657	72	11.0
108340658	72	11.0
108340659	72	11.0
108340660	72	11.0
108340661	90	11.0
108340662	90	11.0
108340663	72	11.0
108340664	72	11.0
108340665	72	11.0
108340666	72	11.0
108340667	72	11.0
108340668	72	11.0
108340669	72	11.0
108340670	72	11.0
108340671	72	11.0
108340672	72	11.0
108340673	72	11.0
108340674	72	11.0
108340675	90	11.0
108340676	90	11.0
108340677	90	11.0
108340678	90	11.0
108340679	90	11.0
108340680	72	11.0
108340681	72	11.0
108340682	72	11.0
108340683	72	11.0
108340684	72	11.0
108340685	72	11.0
108340686	72	11.0
108340687	72	11.0
108340688	72	11.0
108340689	72	11.0
108340690	72	11.0
108340691	72	11.0
108340692	72	11.0
108340693	72	11.0
108340694	72	11.0
108340695	72	11.0
108340696	42	11.0
108340697	42	11.0
108340698	42	11.0
108340699	42	11.0
108340700	42	11.0
108340701	30	11.0
108340702	30	11.0
108340703	30	11.0
108340704	30	11.0
108340705	0	11.0
108344853	30	12.0
108344854	30	12.0
108344855	30	12.0
108344856	30	12.0
108344857	30	12.0
108344858	42	12.0
108344859	72	12.0
108344860	72	12.0
108344861	90	12.0
108344862	56	12.0
108344863	56	12.0
108344864	56	12.0
108344865	56	12.0
108344866	56	12.0
108344867	56	12.0
108344868	56	12.0
108344869	56	12.0
108344870	56	12.0
108344871	72	12.0
108344872	72	12.0
108344873	72	12.0
108344874	110	12.0
108344875	110	12.0
108344876	110	12.0
108344877	110	12.0
108344878	110	12.0
108344879	110	12.0
108344880	90	12.0
108344881	90	12.0
108344882	90	12.0
108344883	90	12.0
108344884	72	12.0
108344885	72	12.0
108344886	72	12.0
108344887	90	12.0
108344888	90	12.0
108344889	90	12.0
108344890	90	12.0
108344891	90	12.0
108344892	90	12.0
108344893	90	12.0
108344894	90	12.0
108344895	110	12.0
108344896	90	12.0
108344897	90	12.0
108344898	90	12.0
108344899	90	12.0
108344900	90	12.0
108344901	90	12.0
108344902	90	12.0
